X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.050,0.009,0.011,21.086,155820.312,4.581,60.000
0.058,0.001,0.018,21.967,65830.289,-0.439,60.000
0.048,0.000,0.012,31.077,-169.938,-0.663,60.000
0.049,0.007,0.010,20.936,154437.469,3.368,60.000
0.045,0.002,0.016,19.990,160800.844,1.536,60.000
0.050,0.000,0.009,29.715,-86997.617,-1.439,60.000
0.043,0.001,0.014,20.454,107712.367,1.082,60.000
0.049,0.010,0.012,20.490,136698.219,4.383,60.000
0.049,0.025,0.014,19.995,173019.406,5.744,60.000
0.048,0.002,0.012,23.757,113782.648,2.807,60.000
0.047,0.000,0.021,20.800,35142.414,0.332,60.000
0.045,0.001,0.013,26.346,98539.805,1.715,60.000
0.047,0.001,0.018,20.690,148365.125,1.412,60.000
0.051,0.000,0.002,25.748,-39955.176,-0.804,60.000
0.045,0.001,0.011,22.282,108627.633,0.567,60.000
0.041,0.000,0.011,26.781,-74498.297,1.749,60.000
0.054,0.001,0.014,26.401,94133.336,1.190,60.000
0.056,0.001,0.003,21.429,23691.875,-0.694,60.000
0.049,0.001,0.010,25.413,61020.836,1.470,60.000
0.045,0.000,0.014,30.543,41260.727,2.226,60.000
0.050,0.025,0.012,19.990,155468.375,5.952,60.000
0.045,0.001,0.015,25.751,87571.977,0.398,60.000
0.049,0.021,0.012,20.340,130455.180,5.986,60.000
0.049,0.018,0.013,19.678,131298.156,6.616,60.000
0.050,0.017,0.010,19.673,102412.383,5.927,60.000
0.049,0.014,0.014,21.314,161957.250,5.206,60.000
0.052,0.002,0.011,23.428,44111.492,2.946,60.000
0.058,0.001,0.011,18.780,135818.500,0.272,60.000
0.049,0.009,0.014,21.007,124329.445,4.043,60.000
0.047,0.002,0.017,20.963,159270.094,1.673,60.000
0.051,0.014,0.012,20.309,113997.273,4.781,60.000
0.042,0.001,0.006,20.975,80870.289,0.941,60.000
0.061,0.001,0.009,19.978,127227.039,0.337,60.000
0.052,0.018,0.012,20.254,96649.305,6.418,60.000
0.049,0.008,0.014,20.773,125668.258,4.431,60.000
0.052,0.006,0.012,20.845,107394.195,4.129,60.000
0.056,0.000,0.015,25.692,59709.305,1.988,60.000
0.049,0.020,0.013,20.027,139846.219,6.184,60.000
0.052,0.026,0.013,19.672,169894.719,5.507,60.000
0.050,0.000,0.007,27.873,-33089.773,0.940,60.000
0.055,0.001,0.004,22.248,-96092.609,-2.241,60.000
0.099,0.012,0.011,20.243,106750.992,5.087,60.000
0.052,0.000,0.014,33.262,56218.336,0.423,60.000
0.043,0.000,0.019,21.657,-66967.344,-2.268,60.000
0.059,0.001,0.017,21.298,106978.945,0.105,60.000
0.050,0.005,0.012,22.087,113982.883,4.435,60.000
0.048,0.011,0.013,21.082,146282.594,3.825,60.000
0.046,0.001,0.013,28.563,58951.555,1.079,60.000
0.050,0.001,0.007,23.763,104873.242,0.627,60.000
0.050,0.001,0.022,21.935,126753.383,1.752,60.000
0.046,0.001,0.010,26.997,9173.141,-1.422,60.000
0.049,0.001,0.004,20.998,113669.820,0.953,60.000
0.047,0.000,0.018,24.654,49983.383,-1.823,60.000
0.056,0.001,0.010,22.229,82251.711,0.462,60.000
0.050,0.022,0.014,20.442,131845.875,6.031,60.000
0.047,0.001,0.007,23.424,99031.867,0.557,60.000
0.050,0.008,0.010,20.554,131371.062,2.735,60.000
0.048,0.001,0.019,20.974,130754.398,1.391,60.000
0.047,0.001,0.020,21.235,129366.336,1.140,60.000
0.057,0.000,0.009,21.251,-79236.438,2.562,60.000
0.056,0.000,0.018,21.879,41385.367,0.706,60.000
0.051,0.007,0.011,21.308,155204.031,5.085,60.000
0.051,0.011,0.012,19.731,112493.305,3.988,60.000
0.041,0.000,0.009,22.054,-7984.312,-0.826,60.000
0.047,0.001,0.017,21.550,157119.094,1.793,60.000
0.040,0.001,0.011,21.161,69851.820,-0.414,60.000
0.049,0.001,0.004,21.347,105434.320,0.880,60.000
0.050,0.001,0.013,33.030,-15058.984,0.266,60.000
0.057,0.001,0.014,22.440,116618.383,0.318,60.000
0.049,0.000,0.015,27.063,75852.367,1.706,60.000
0.048,0.012,0.012,21.215,136327.250,4.267,60.000
0.048,0.010,0.012,20.563,152718.781,4.689,60.000
0.048,0.014,0.013,21.133,138416.250,5.299,60.000
0.051,0.015,0.014,21.914,144993.312,5.793,60.000
0.045,0.000,0.018,22.335,-33503.258,-0.408,60.000
0.051,0.014,0.011,20.552,75964.258,5.587,60.000
0.051,0.026,0.014,18.991,152587.906,4.578,60.000
0.053,0.000,0.013,34.419,25396.234,0.356,60.000
0.049,0.001,0.013,26.100,110766.289,2.669,60.000
0.056,0.001,0.011,20.973,107799.789,0.932,60.000
0.049,0.003,0.011,22.478,87259.602,2.159,60.000
0.047,0.002,0.007,22.658,93731.945,0.936,60.000
0.050,0.008,0.014,20.277,102260.070,3.684,60.000
0.051,0.014,0.013,22.046,125036.070,4.944,60.000
0.057,0.001,0.009,23.721,94144.883,0.264,60.000
0.050,0.009,0.013,20.044,122554.367,4.985,60.000
0.051,0.026,0.011,20.166,131277.031,5.802,60.000
0.050,0.024,0.013,20.111,161444.656,5.546,60.000
0.052,0.000,0.010,30.626,-30510.875,0.906,60.000
0.052,0.004,0.012,21.955,86725.664,3.441,60.000
0.051,0.024,0.012,19.726,147563.656,5.460,60.000
0.053,0.001,0.022,22.003,26962.773,0.116,60.000
0.050,0.020,0.014,19.961,136290.812,6.994,60.000
0.051,0.001,0.007,24.564,101034.961,0.639,60.000
0.049,0.018,0.012,19.765,130016.977,6.498,60.000
0.048,0.015,0.014,20.634,151777.625,5.834,60.000
0.051,0.006,0.013,21.435,90192.289,3.686,60.000
0.055,0.001,0.008,23.100,99439.133,0.336,60.000
0.052,0.004,0.013,21.714,85429.945,3.172,60.000
0.044,0.001,0.014,21.557,109906.852,1.216,60.000
0.050,0.019,0.014,19.966,138124.812,7.105,60.000
0.052,0.001,0.005,22.506,42955.273,-0.169,60.000
0.053,0.001,0.016,27.275,8733.961,0.085,60.000
0.047,0.000,0.014,30.402,27117.508,-0.019,60.000
0.047,0.000,0.013,29.348,59210.664,0.253,60.000
0.048,0.012,0.012,21.265,132896.594,4.449,60.000
0.051,0.021,0.012,19.892,120758.852,5.784,60.000
0.052,0.016,0.011,19.843,98915.133,5.970,60.000
0.049,0.002,0.013,24.049,103958.273,3.042,60.000
0.060,0.000,0.013,23.684,67351.133,0.938,60.000
0.048,0.010,0.012,20.517,147628.219,4.564,60.000
0.049,0.008,0.012,21.788,171941.344,5.575,60.000
0.049,0.012,0.011,20.924,91871.633,4.386,60.000
0.052,0.017,0.013,20.482,100781.461,6.607,60.000
0.045,0.000,0.018,22.333,10107.812,-0.448,60.000
0.051,0.026,0.013,19.730,175736.250,5.639,60.000
0.060,0.001,0.015,21.779,120766.336,-0.573,60.000
0.051,0.005,0.011,21.093,116619.414,3.803,60.000
0.048,0.002,0.011,22.488,89352.773,1.738,60.000
0.056,0.000,0.014,26.505,54955.133,0.990,60.000
0.042,0.000,0.014,24.992,9915.828,-1.926,60.000
0.050,0.009,0.015,20.816,112642.445,3.274,60.000
0.050,0.023,0.012,20.186,158412.438,5.672,60.000
0.050,0.012,0.013,21.617,152668.469,4.222,60.000
0.053,0.000,0.010,30.384,8631.883,-0.059,60.000
0.045,0.002,0.007,21.913,84502.430,0.636,60.000
0.058,0.001,0.015,22.334,117674.430,-0.170,60.000
0.053,0.001,0.007,23.959,94719.664,0.478,60.000
0.050,0.000,0.022,21.204,49389.414,0.385,60.000
0.050,0.019,0.012,20.139,129460.398,6.357,60.000
0.051,0.004,0.013,21.577,88558.352,2.993,60.000
0.050,0.006,0.012,22.039,145090.969,5.305,60.000
0.056,0.000,0.010,26.526,34263.492,-0.493,60.000
0.051,0.026,0.010,21.286,113328.555,5.524,60.000
0.055,0.002,0.015,21.761,88591.211,0.551,60.000
0.100,0.011,0.012,14.810,115521.727,3.884,60.000
0.045,0.000,0.008,27.749,-95428.812,-0.962,60.000
0.050,0.008,0.010,20.667,124285.680,2.831,60.000
0.049,0.009,0.010,21.636,113510.586,3.084,60.000
0.053,0.000,0.017,29.244,45152.055,-0.414,60.000
0.049,0.010,0.015,22.390,133916.688,3.656,60.000
0.046,0.001,0.020,20.343,128110.867,1.121,60.000
0.052,0.016,0.012,20.469,108490.102,5.945,60.000
0.058,0.001,0.019,18.711,102727.445,0.180,60.000
0.051,0.001,0.019,22.950,114347.367,2.063,60.000
0.052,0.001,0.022,20.946,120120.477,1.801,60.000
0.048,0.009,0.013,20.564,148175.719,4.727,60.000
0.055,0.000,0.020,21.094,38746.445,-0.345,60.000
0.055,0.000,0.017,24.275,-34917.664,-2.266,60.000
0.056,0.002,0.007,22.492,111024.086,0.069,60.000
0.049,0.012,0.012,20.661,128232.320,4.282,60.000
0.047,0.001,0.013,29.353,87826.430,1.732,60.000
0.051,0.019,0.012,19.970,118220.398,6.126,60.000
0.059,0.000,0.010,23.009,64868.352,-1.737,60.000
0.056,0.000,0.012,31.695,57824.430,0.010,60.000
0.050,0.024,0.012,20.077,159695.094,5.687,60.000
0.056,0.000,0.008,22.532,-13227.195,2.465,60.000
0.059,0.001,0.015,23.089,69597.352,-1.312,60.000
0.048,0.004,0.011,21.368,114603.977,2.657,60.000
0.052,0.005,0.011,21.314,75814.555,2.820,60.000
0.055,0.000,0.017,22.687,10867.086,-0.930,60.000
0.052,0.006,0.014,19.272,88140.930,2.260,60.000
0.099,0.011,0.012,19.810,128070.539,5.102,60.000
0.098,0.012,0.011,18.910,100817.352,4.799,60.000
0.050,0.005,0.010,21.089,103048.555,1.750,60.000
0.052,0.026,0.012,19.737,141125.344,5.656,60.000
0.054,0.000,0.009,26.642,-20247.359,0.790,60.000
0.052,0.005,0.012,21.241,87275.836,3.536,60.000
0.051,0.024,0.012,19.679,148640.406,5.409,60.000
0.099,0.012,0.011,19.054,111207.930,4.688,60.000
0.051,0.006,0.014,19.847,97024.961,2.399,60.000
0.097,0.014,0.012,19.267,104898.117,4.851,60.000
0.052,0.016,0.014,21.126,118052.070,6.242,60.000
0.042,0.000,0.017,21.682,-29383.070,-2.622,60.000
0.044,0.001,0.013,24.750,97201.492,1.243,60.000
0.051,0.005,0.014,20.905,91882.789,3.004,60.000
0.049,0.004,0.010,21.969,88071.836,1.775,60.000
0.049,0.013,0.011,21.054,101403.867,4.772,60.000
0.044,0.001,0.014,24.668,96422.164,0.791,60.000
0.050,0.017,0.011,19.874,116934.977,6.444,60.000
0.041,0.001,0.017,21.101,109179.852,-0.711,60.000
0.051,0.018,0.013,20.258,112167.195,6.704,60.000
0.001,0.012,0.011,18.842,24519.492,7.182,60.000
0.043,0.001,0.014,25.967,-2483.141,-1.725,60.000
0.049,0.021,0.011,20.183,126474.414,6.534,60.000
0.047,0.001,0.022,20.846,131053.289,1.319,60.000
0.051,0.000,0.003,18.943,44868.758,-0.980,60.000
0.050,0.023,0.010,20.492,117640.758,6.243,60.000
0.049,0.003,0.013,23.045,112145.961,3.162,60.000
0.051,0.018,0.012,19.617,119799.898,6.386,60.000
0.048,0.026,0.011,21.750,145328.406,6.849,60.000
0.051,0.001,0.003,20.083,117447.430,0.623,60.000
0.050,0.021,0.014,19.996,129530.430,6.464,60.000
0.051,0.014,0.010,19.954,77663.680,5.702,60.000
0.049,0.019,0.010,18.971,114289.320,6.123,60.000
0.048,0.009,0.011,21.461,142981.938,4.141,60.000
0.055,0.000,0.017,23.558,786.891,-1.327,60.000
0.051,0.004,0.012,21.992,102467.602,4.046,60.000
0.050,0.008,0.012,21.829,175265.562,5.648,60.000
0.055,0.001,0.013,23.530,102924.945,1.311,60.000
0.045,0.001,0.012,25.504,92622.742,1.322,60.000
0.056,0.002,0.011,21.186,89845.352,1.292,60.000
0.055,0.001,0.018,22.764,50034.617,-0.050,60.000
0.050,0.008,0.013,20.944,133044.188,5.056,60.000
0.049,0.012,0.010,21.040,75035.398,4.340,60.000
0.051,0.006,0.014,20.020,89051.102,2.473,60.000
0.051,0.003,0.013,23.892,90152.102,3.166,60.000
0.099,0.013,0.012,22.822,46203.023,3.789,60.000
0.049,0.008,0.012,21.219,168638.156,5.532,60.000
0.053,0.000,0.021,19.729,-32569.781,-1.521,60.000
0.058,0.001,0.010,20.448,113426.805,0.294,60.000
0.054,0.000,0.015,29.983,-19405.914,-0.486,60.000
0.051,0.022,0.010,19.697,104694.930,6.042,60.000
0.050,0.000,0.007,27.547,-12669.773,0.888,60.000
0.049,0.019,0.014,19.502,145202.500,7.005,60.000
0.050,0.018,0.010,18.863,106637.273,5.856,60.000
0.049,0.014,0.011,20.927,87118.820,5.750,60.000
0.050,0.026,0.013,20.120,182008.406,5.831,60.000
0.052,0.001,0.019,22.215,112114.117,2.012,60.000
0.050,0.011,0.014,22.549,145066.094,3.597,60.000
0.049,0.019,0.011,19.694,117604.508,6.385,60.000
0.049,0.025,0.010,21.540,128737.305,6.096,60.000
0.049,0.001,0.009,26.776,46016.461,0.095,60.000
0.049,0.009,0.013,20.948,147583.188,5.639,60.000
0.048,0.013,0.013,21.471,159602.219,4.180,60.000
0.001,0.011,0.012,19.903,46149.805,6.206,60.000
0.058,0.001,0.007,24.649,40480.539,0.047,60.000
0.052,0.003,0.012,23.620,89864.570,2.866,60.000
0.050,0.007,0.011,21.332,170248.969,4.516,60.000
0.049,0.000,0.011,31.849,-11759.695,1.039,60.000
0.049,0.007,0.013,21.753,150116.906,5.260,60.000
0.041,0.000,0.008,22.447,-16412.156,-0.898,60.000
0.050,0.021,0.012,20.000,127880.805,5.783,60.000
0.050,0.015,0.012,20.504,133169.062,5.873,60.000
0.048,0.005,0.010,22.957,94596.773,1.239,60.000
0.047,0.000,0.005,23.029,29413.070,-0.443,60.000
0.044,0.001,0.018,21.238,31659.648,-1.175,60.000
0.047,0.001,0.007,24.936,66254.695,0.493,60.000
0.041,0.001,0.011,21.680,78143.070,-0.439,60.000
0.050,0.005,0.012,21.747,121505.398,4.505,60.000
0.060,0.001,0.013,23.478,128013.977,-0.796,60.000
0.049,0.011,0.011,20.570,120181.805,4.066,60.000
0.049,0.001,0.017,25.223,39766.836,-0.157,60.000
0.042,0.001,0.008,22.975,91348.789,0.552,60.000
0.052,0.005,0.012,20.829,95736.836,3.666,60.000
0.001,0.012,0.011,19.258,12178.516,6.623,60.000
0.052,0.000,0.022,19.956,-27015.320,-1.030,60.000
0.049,0.010,0.010,21.566,89298.555,3.639,60.000
0.050,0.001,0.011,26.298,39902.867,1.891,60.000
0.048,0.010,0.013,20.721,159900.375,4.499,60.000
0.049,0.021,0.011,20.061,124320.617,6.278,60.000
0.041,0.001,0.006,20.755,94843.008,1.236,60.000
0.050,0.025,0.012,19.981,142241.250,6.055,60.000
0.048,0.002,0.011,22.908,83187.430,1.560,60.000
0.001,0.012,0.012,19.947,43582.180,6.502,60.000
0.050,0.019,0.012,19.964,128179.461,6.415,60.000
0.054,0.002,0.007,22.660,99252.445,0.337,60.000
0.052,0.000,0.016,27.247,49222.977,1.222,60.000
0.042,0.001,0.014,20.808,75396.695,-0.018,60.000
0.048,0.018,0.012,20.226,138712.219,6.315,60.000
0.049,0.024,0.010,21.351,136636.156,6.687,60.000
0.055,0.000,0.012,28.198,46517.883,2.185,60.000
0.050,0.025,0.012,20.139,143838.719,6.148,60.000
0.049,0.023,0.011,20.560,135056.188,6.620,60.000
0.047,0.002,0.010,22.969,106779.492,1.191,60.000
0.051,0.003,0.014,20.978,103600.117,2.430,60.000
0.050,0.010,0.012,20.298,129434.758,4.684,60.000
0.045,0.001,0.013,25.766,121430.883,2.002,60.000
0.051,0.020,0.012,20.111,120770.570,6.267,60.000
0.051,0.021,0.011,19.787,114552.898,5.966,60.000
0.045,0.000,0.016,23.615,53727.055,0.204,60.000
0.050,0.009,0.013,20.064,128467.039,5.055,60.000
0.049,0.027,0.013,17.318,105656.711,4.077,60.000
0.052,0.006,0.013,21.456,90566.852,3.673,60.000
0.002,0.013,0.011,18.659,45792.586,6.502,60.000
0.051,0.000,0.011,29.058,-8519.477,0.754,60.000
0.046,0.002,0.012,22.948,111610.352,1.524,60.000
0.048,0.023,0.013,20.605,157877.062,5.542,60.000
0.042,0.000,0.016,23.815,-22933.070,-0.377,60.000
0.001,0.012,0.013,20.144,59015.164,5.965,60.000
0.050,0.004,0.010,21.700,83488.789,1.578,60.000
0.049,0.023,0.010,20.645,126035.945,6.520,60.000
0.048,0.007,0.013,22.017,145959.906,4.141,60.000
0.048,0.021,0.014,20.467,140306.062,5.946,60.000
0.098,0.011,0.013,20.398,131833.094,4.524,60.000
0.041,0.001,0.011,24.047,2937.281,-2.081,60.000
0.048,0.013,0.014,21.980,159351.062,4.110,60.000
0.059,0.000,0.013,24.078,52577.477,1.980,60.000
0.058,0.001,0.015,25.475,51998.680,-1.316,60.000
0.044,0.001,0.015,20.814,116180.352,1.219,60.000
0.055,0.002,0.018,20.645,86353.320,0.747,60.000
0.001,0.012,0.013,21.546,48415.570,5.654,60.000
0.050,0.003,0.012,23.788,97555.711,3.396,60.000
0.058,0.001,0.013,21.936,120690.789,-0.093,60.000
0.050,0.015,0.012,20.387,139567.281,5.472,60.000
0.044,0.001,0.011,24.936,57993.508,-0.715,60.000
0.049,0.005,0.011,21.102,116671.242,2.236,60.000
0.049,0.001,0.016,23.149,146546.844,1.885,60.000
0.047,0.001,0.005,22.835,93817.227,0.682,60.000
0.050,0.011,0.011,20.025,125777.180,4.144,60.000
0.003,0.012,0.012,19.812,52987.930,5.944,60.000
0.097,0.011,0.012,19.679,128901.133,4.839,60.000
0.057,0.000,0.014,25.482,80214.180,1.051,60.000
0.049,0.001,0.018,22.323,137815.250,1.934,60.000
0.049,0.010,0.011,20.775,113330.648,4.049,60.000
0.056,0.001,0.008,22.929,108827.492,0.245,60.000
0.049,0.001,0.020,21.902,129268.523,1.621,60.000
0.049,0.009,0.015,21.122,115592.805,3.665,60.000
0.051,0.001,0.004,21.630,112398.805,0.585,60.000
0.056,0.001,0.011,26.163,46738.273,0.758,60.000
0.050,0.020,0.013,19.856,128721.695,6.644,60.000
0.052,0.005,0.011,20.377,113825.180,3.459,60.000
0.057,0.001,0.007,22.165,121144.367,0.183,60.000
0.051,0.003,0.014,22.062,104600.617,2.532,60.000
0.051,0.004,0.009,22.657,75453.383,0.901,60.000
0.002,0.013,0.010,17.597,32764.539,7.227,60.000
0.049,0.002,0.014,23.224,135998.781,2.350,60.000
0.050,0.014,0.011,20.834,92061.430,5.755,60.000
0.057,0.001,0.017,20.109,98378.930,0.267,60.000
0.048,0.006,0.010,21.689,116935.492,1.543,60.000
0.059,0.001,0.009,21.139,122724.055,0.199,60.000
0.059,0.000,0.012,25.789,31129.742,0.879,60.000
0.050,0.018,0.013,20.354,118517.633,6.945,60.000
0.048,0.001,0.015,26.708,138829.094,1.674,60.000
0.050,0.013,0.012,21.120,134317.812,4.460,60.000
0.050,0.016,0.012,19.889,130303.461,6.413,60.000
0.050,0.008,0.014,20.668,106707.320,4.010,60.000
0.045,0.001,0.014,23.064,125879.367,1.801,60.000
0.050,0.025,0.012,19.990,156393.562,5.992,60.000
0.049,0.008,0.013,21.404,150712.750,5.752,60.000
0.052,0.001,0.009,24.954,71684.367,0.562,60.000
0.051,0.006,0.013,21.938,96629.711,3.850,60.000
0.044,0.001,0.019,19.020,117835.383,0.619,60.000
0.051,0.024,0.013,20.224,156155.062,5.754,60.000
0.049,0.015,0.013,20.840,132936.906,5.758,60.000
0.059,0.001,0.007,23.026,117158.570,0.349,60.000
0.051,0.003,0.010,23.174,52037.039,2.084,60.000
0.045,0.001,0.016,20.013,156095.844,1.229,60.000
0.051,0.004,0.010,22.125,71196.133,1.180,60.000
0.050,0.019,0.012,19.670,125477.477,6.175,60.000
0.050,0.015,0.012,20.739,111731.711,5.758,60.000
0.053,0.002,0.007,23.207,96082.102,0.588,60.000
0.048,0.005,0.011,20.527,139736.344,2.240,60.000
0.051,0.015,0.013,21.680,126857.008,5.074,60.000
0.047,0.000,0.017,26.257,-54344.945,-2.387,60.000
0.055,0.000,0.010,28.291,5856.945,0.619,60.000
0.051,0.000,0.020,21.564,18865.938,-1.061,60.000
0.041,0.001,0.014,21.076,17149.828,-2.706,60.000
0.100,0.012,0.013,24.777,44758.258,4.970,60.000
0.044,0.001,0.019,19.224,125032.758,0.578,60.000
0.050,0.022,0.013,20.607,135783.281,5.789,60.000
0.050,0.011,0.010,20.829,69135.398,3.917,60.000
0.048,0.021,0.012,20.497,131443.219,6.023,60.000
0.050,0.016,0.014,21.373,146319.438,6.096,60.000
0.043,0.001,0.013,20.964,97798.164,0.273,60.000
0.058,0.001,0.018,21.719,86554.695,-0.213,60.000
0.052,0.023,0.012,19.873,126322.289,5.329,60.000
0.059,0.001,0.017,23.681,43095.711,-1.348,60.000
0.051,0.006,0.011,19.853,136730.875,3.928,60.000
0.058,0.000,0.012,26.420,37905.414,1.015,60.000
0.055,0.001,0.021,19.776,114686.898,1.503,60.000
0.049,0.018,0.010,19.721,126666.758,6.617,60.000
0.050,0.001,0.023,22.019,126861.445,1.840,60.000
0.051,0.007,0.014,20.760,90388.992,3.144,60.000
0.049,0.026,0.011,21.787,133437.906,6.191,60.000
0.048,0.000,0.018,24.139,-22395.398,-1.510,60.000
0.043,0.000,0.015,23.749,62948.430,-0.127,60.000
0.051,0.001,0.019,23.802,64994.477,1.322,60.000
0.052,0.002,0.012,23.727,82987.852,2.677,60.000
0.058,0.001,0.013,21.745,122021.773,0.136,60.000
0.050,0.000,0.002,19.911,18723.102,-1.175,60.000
0.057,0.001,0.017,21.727,100973.352,0.563,60.000
0.050,0.010,0.010,20.641,79671.680,3.722,60.000
0.042,0.000,0.010,23.352,28438.242,-1.057,60.000
0.051,0.011,0.013,21.019,117316.445,3.837,60.000
0.050,0.000,0.018,25.607,27520.805,-1.897,60.000
0.050,0.014,0.012,20.601,125239.055,5.051,60.000
0.051,0.022,0.011,19.551,100253.195,5.867,60.000
0.099,0.011,0.013,22.426,109620.602,4.120,60.000
0.097,0.013,0.012,19.257,103846.367,5.182,60.000
0.048,0.024,0.013,20.319,163961.969,5.496,60.000
0.048,0.015,0.013,21.023,129725.414,5.660,60.000
0.048,0.017,0.011,20.269,133870.188,6.564,60.000
0.049,0.006,0.013,21.879,116682.289,3.839,60.000
0.050,0.015,0.013,20.785,141570.438,5.337,60.000
0.050,0.004,0.013,22.543,94949.977,3.476,60.000
0.051,0.022,0.011,20.022,122124.836,6.105,60.000
0.048,0.017,0.014,20.122,140944.281,6.610,60.000
0.050,0.022,0.011,19.984,126985.320,6.074,60.000
0.050,0.017,0.010,19.535,106716.883,5.847,60.000
0.043,0.001,0.013,24.736,41929.742,-0.979,60.000
0.055,0.000,0.016,26.236,29343.883,0.036,60.000
0.051,0.005,0.012,21.451,110657.773,4.174,60.000
0.047,0.002,0.011,22.884,100755.805,1.424,60.000
0.048,0.000,0.009,28.392,-37405.367,-1.494,60.000
0.050,0.020,0.010,18.885,100131.539,6.163,60.000
0.052,0.000,0.010,34.189,30057.492,1.877,60.000
0.049,0.009,0.011,21.330,164646.938,4.893,60.000
0.049,0.001,0.022,21.741,126451.055,1.577,60.000
0.049,0.016,0.011,20.343,120769.148,6.508,60.000
0.045,0.001,0.017,19.824,158272.188,1.458,60.000
0.052,0.013,0.011,19.751,84205.633,4.012,60.000
0.051,0.016,0.012,20.075,109723.008,6.104,60.000
